TimePoint,Tank_ID,Treatment,Date,Final_algal_wet_mass_g,Petri_dish_mass_g,Petri_filter_mass_g,Petri_faeces_wet_mass_g,Faeces_wet_mass_g,Petri_faeces_dry_mass_g,Total_faeces_dry_mass_g,Isotope_sample,Tin_Weight_g,Tin_faeces_dry_mass_g,Faeces_dry_mass_g,Tin_faeces_AFDW_g,AFDW_mass_g,AFDW_dry_weight_ratio,Freezer_sample,Notes
T1,13,Intermediate,2020-02-25,461.39,9.6973,9.7323,10.7176,0.9853,9.916,0.1837,No,2.4849,2.566,0.0811,2.5197,0.0348,0.429,Yes,
T1,14,High,2020-02-25,525.1,9.8313,9.8576,9.9187,0.0611,9.8594,0.0018,No,2.4969,2.5081,0.0112,2.5045,0.0076,0.679,Yes,Very little material on filter
T1,15,Ambient,2020-02-25,338.08,9.6976,9.7188,10.4121,0.6933,9.8479,0.1291,No,2.5068,2.5602,0.0534,2.5354,0.0286,0.536,Yes,
T1,16,Intermediate,2020-02-25,548.96,10.0319,10.0439,11.2827,1.2388,10.4,0.3561,No,2.5151,2.6353,0.1202,2.5903,0.0752,0.626,Yes,
T1,17,Dynamic,2020-02-25,353.85,9.9542,9.9764,11.0739,1.0975,10.1945,0.2181,No,2.4806,2.5989,0.1183,2.5431,0.0625,0.528,Yes,
T1,18,High,2020-02-25,476.88,10.0415,10.0613,11.7315,1.6702,10.3302,0.2689,No,2.504,2.6972,0.1932,2.6143,0.1103,0.571,Yes,
T1,19,Dynamic,2020-02-25,375.57,9.987,10.0074,10.4709,0.4635,10.1207,0.1133,No,2.4843,2.551,0.0667,2.5285,0.0442,0.663,Yes,
T1,20,Ambient,2020-02-25,445.48,9.7208,9.7427,10.5606,0.8179,9.9455,0.2028,No,2.4913,2.5837,0.0924,2.5454,0.0541,0.585,Yes,Removed snail shell
T1,21,Dynamic,2020-02-25,367.56,9.7842,9.8062,10.1295,0.3233,9.8674,0.0612,No,2.4662,2.5188,0.0526,2.489,0.0228,0.433,Yes,"Two additional filters: B (frozen) and I (half AFDW, half frozen)"
T1,22,Intermediate,2020-02-25,544,9.9928,10.0144,10.2846,0.2702,10.0502,0.0358,No,2.4673,2.5504,0.0831,2.5101,0.0428,0.515,Yes,Second filter: H (frozen)
